City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
379,Witu,KE,-2.3889,40.4382,75.36,81,25,12.44
380,Jiuquan,CN,39.7432,98.5174,60.66,64,100,22.28
381,Kargasok,RU,59.0556,80.8572,57.54,81,68,5.59
382,Cayenne,GF,4.9333,-52.3333,84.24,1,40,10.36
383,Leningradskiy,RU,69.3833,178.4167,33.15,98,100,18.77
384,Lyngdal,NO,58.1376,7.07,66.88,74,98,4.21
385,Santiago Del Estero,AR,-27.7951,-64.2615,76.44,39,100,8.9
386,Ketchikan,US,55.3422,-131.6461,59.49,76,100,5.53
387,Tahta,EG,26.7693,31.5021,87.93,21,21,7.87
388,Kedrovoye,RU,57.1576,60.5698,60.24,95,15,5.86
389,Luderitz,NA,-26.6481,15.1594,56.98,60,3,17.6
390,Pierre,US,44.3683,-100.351,97.86,28,0,5.99
391,Port Keats,AU,-14.25,129.55,66.74,51,93,5.86
392,Lae,PG,-6.7221,146.9847,74.7,83,84,4.63
393,Bathsheba,BB,13.2167,-59.5167,86.61,95,40,17.27
394,Pemangkat,ID,1.1667,108.9667,78.69,86,9,3.22
395,Mudgee,AU,-32.5943,149.5871,46.78,84,99,9.89
396,Harda,IN,22.3333,77.1,76.23,94,100,10.2
397,Nosivka,UA,50.9315,31.5828,55.49,76,36,9.62
398,Coahuayana,MX,18.7333,-103.6833,94.5,51,55,7.29
399,Havelock,US,34.8791,-76.9013,84.18,81,75,4.61
400,Nampula,MZ,-15.1165,39.2666,57.88,94,0,1.7
401,Langsa,ID,4.4683,97.9683,73.76,97,88,2.51
402,Ibra,OM,22.6906,58.5334,81.81,72,100,7.34
403,Shimoda,JP,34.6667,138.95,77.11,85,98,6.44
404,Tonekabon,IR,36.8163,50.8738,78.42,89,44,5.06
405,Jedburgh,GB,55.48,-2.552,61.45,83,81,6.78
406,Manono,CD,-7.3,27.4167,82.51,34,100,2.91
407,Copiapo,CL,-27.3667,-70.3333,49.69,58,100,1.12
408,Phan Thiet,VN,10.9333,108.1,76.23,90,100,1.7
409,Miyako,JP,39.6367,141.9525,70.16,92,84,3.15
410,Rocha,UY,-34.4833,-54.3333,55.65,91,2,7.65
411,Tura,IN,25.5198,90.2201,74.5,97,100,5.44
412,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.42,49,16,6.71
413,Tevaitoa,PF,-16.7833,-151.5,77.86,67,0,11.18
414,Laguna,US,38.421,-121.4238,102.31,26,0,8.05
415,Umm Lajj,SA,25.0213,37.2685,88.14,55,34,7.7
416,Khor,RU,47.8861,134.9464,63.14,94,75,5.79
417,Ossora,RU,59.2353,163.0719,59.61,71,51,3.15
418,Coari,BR,-4.085,-63.1414,84.16,59,93,1.83
419,Solwezi,ZM,-12.1688,26.3894,64.26,53,97,4.07
420,Pryazha,RU,61.6926,33.6216,61.14,82,33,8.03
421,Yanam,IN,16.7333,82.2167,79.88,86,55,3.67
422,Tessalit,ML,20.1986,1.0114,75.33,67,99,19.44
423,Cabo San Lucas,MX,22.8909,-109.9124,97.61,62,80,10.09
424,Clyde River,CA,70.4692,-68.5914,39.43,93,100,8.05
425,Maldonado,UY,-34.6667,-54.9167,60.22,89,9,8.28
426,Taunggyi,MM,20.7833,97.0333,65.08,96,100,1.81
427,Toora-Khem,RU,52.4675,96.11,44.62,89,6,0.89
428,Vladyslavivka,UA,45.1667,35.3667,69.67,59,3,10.94
429,Maceio,BR,-9.6658,-35.7353,74.64,88,100,6.91
430,Coolum Beach,AU,-26.5333,153.1,63.1,83,100,17.67
431,Tashtagol,RU,52.7657,87.8894,49.78,87,96,3.36
432,Palmer,US,42.1584,-72.3287,97.21,44,59,3.18
433,Loreto,MX,22.2667,-101.9667,87.17,16,7,13.85
434,Victoria,HK,22.2855,114.1577,86.38,85,21,8.99
435,Portobelo,PA,9.55,-79.65,84.11,85,100,8.66
436,Zhoucheng,CN,35.9122,116.3117,68.23,98,15,3.62
437,Aklavik,CA,68.2191,-135.0107,62.6,72,75,3.44
438,Puerto Penasco,MX,31.3167,-113.5333,88.92,69,86,11.99
439,Bilibino,RU,68.0546,166.4372,46.22,65,95,3.15
440,Anito,PH,12.4497,125.2886,79.5,87,88,4.27
441,Shelopugino,RU,51.6514,117.5599,59.99,94,96,2.48
442,Bom Jardim,BR,-7.7958,-35.5872,69.03,95,41,6.93
443,Saint-Augustin,CA,51.226,-58.6502,56.66,88,100,15.43
444,Agutaya,PH,11.148,120.9417,83.77,72,96,4.41
445,Mao,ES,39.8885,4.2658,81.16,74,0,8.05
446,Evensk,RU,61.95,159.2333,62.1,61,15,4.18
447,Fortuna,US,40.5982,-124.1573,67.93,72,36,4.0
448,Debre Tabor,ET,11.85,38.0167,51.04,97,100,2.19
449,Torbay,CA,47.6666,-52.7314,68.77,79,75,20.71
450,Zambezi,ZM,-13.5432,23.1047,59.14,39,5,5.97
451,Santa Cruz De Tenerife,ES,28.4682,-16.2546,86.92,68,20,6.91
452,Flin Flon,CA,54.7682,-101.865,67.84,64,75,11.5
453,Bilma,NE,18.6853,12.9164,94.66,14,72,3.76
454,Bandarbeyla,SO,9.4942,50.8122,73.98,88,79,27.16
455,Corinto,GR,37.9407,22.9573,77.9,45,0,4.79
456,Biak,ID,-0.9131,122.8766,75.02,84,45,3.96
457,Lasa,IT,46.6166,10.7002,68.11,85,50,2.71
458,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,4.61
459,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,18.41
460,Pangai,TO,-19.8,-174.35,76.98,74,8,20.65
461,Shingu,JP,33.7333,135.9833,75.72,75,99,5.08
462,Alcobendas,ES,40.5475,-3.642,92.08,18,0,4.61
463,San Cristobal,VE,7.7669,-72.225,78.98,61,54,5.86
464,Antalaha,MG,-14.9003,50.2788,67.3,85,45,10.65
465,Harper,LR,4.375,-7.7169,75.42,71,99,8.12
466,Sakakah,SA,29.9697,40.2064,97.61,12,42,11.68
467,Sagone,FR,42.1155,8.6969,82.36,65,7,3.67
468,Sabha,LY,27.0377,14.4283,84.43,20,0,10.65
469,Shatrovo,RU,56.5167,64.6333,55.54,91,0,7.25
470,Benghazi,LY,32.1167,20.0667,77.95,66,0,11.27
471,Kismayo,SO,-0.3582,42.5454,74.93,79,96,16.51
472,Sobolevo,RU,54.4299,31.8996,58.95,65,97,12.39
473,Ilhabela,BR,-23.7781,-45.3581,68.65,91,54,2.64
474,Lagos,NG,6.5833,3.75,73.96,78,87,5.61
475,Saint-Joseph,RE,-21.3667,55.6167,68.38,77,29,14.14
476,Caravelas,BR,-17.7125,-39.2481,71.44,77,2,6.64
477,Yar-Sale,RU,66.8333,70.8333,49.33,78,3,10.65
478,Narrabri,AU,-30.3167,149.7833,47.52,80,100,4.0
479,Isangel,VU,-19.55,169.2667,80.71,89,40,4.61
480,Jacala,MX,21.0167,-99.1833,86.58,33,18,10.11
481,Neiafu,TO,-18.65,-173.9833,79.48,73,40,9.22
482,Berlevag,NO,70.8578,29.0864,57.0,100,75,4.61
483,Ikirun,NG,7.9167,4.6667,69.03,93,99,5.06
